 0.00000000e+00,2.10866871e-12 
 1.00000000e-01,6.06476132e-12 
 2.00000000e-01,6.22365709e-11 
 3.00000000e-01,8.50290035e-10 
 4.00000000e-01,1.14488669e-08 
 5.00000000e-01,1.37299089e-07 
 6.00000000e-01,1.31837326e-06 
 7.00000000e-01,8.99964654e-06 
 8.00000000e-01,3.49943038e-05 
 9.00000000e-01,8.38881821e-05 
 1.00000000e+00,1.52121377e-04 
 1.10000000e+00,2.36027640e-04 
 1.20000000e+00,3.32814211e-04 
 1.30000000e+00,4.39900437e-04 
 1.40000000e+00,5.54679475e-04 
 1.50000000e+00,6.74402183e-04 
 1.60000000e+00,7.95862727e-04 
 1.70000000e+00,9.14481725e-04 
 1.80000000e+00,1.02201077e-03 
