 0.00000000e+00,2.39700469e-12 
 1.00000000e-01,1.04836422e-11 
 2.00000000e-01,1.29164456e-10 
 3.00000000e-01,1.82869263e-09 
 4.00000000e-01,2.42796433e-08 
 5.00000000e-01,2.70482427e-07 
 6.00000000e-01,2.27742595e-06 
 7.00000000e-01,1.09375666e-05 
 8.00000000e-01,2.91036703e-05 
 9.00000000e-01,5.52037043e-05 
 1.00000000e+00,8.80237420e-05 
 1.10000000e+00,1.27102927e-04 
 1.20000000e+00,1.72063464e-04 
 1.30000000e+00,2.22431687e-04 
 1.40000000e+00,2.77647813e-04 
 1.50000000e+00,3.37092510e-04 
 1.60000000e+00,4.00089842e-04 
 1.70000000e+00,4.65868773e-04 
 1.80000000e+00,5.33434457e-04 
