Device,Width,Length,Corner,Max_error(%)
sky130_fd_pr__nfet_01v8,0.42,20.0,ff,0.000%
sky130_fd_pr__nfet_01v8,0.42,2.0,ff,0.000%
sky130_fd_pr__nfet_01v8,0.42,4.0,ff,0.000%
sky130_fd_pr__nfet_01v8,0.42,8.0,ff,0.000%
sky130_fd_pr__nfet_01v8,0.42,0.15,ff,0.000%
sky130_fd_pr__nfet_01v8,0.42,0.18,ff,0.000%
sky130_fd_pr__nfet_01v8,0.42,0.5,ff,0.000%
sky130_fd_pr__nfet_01v8,0.55,1.0,ff,0.000%
sky130_fd_pr__nfet_01v8,0.55,2.0,ff,0.000%
sky130_fd_pr__nfet_01v8,0.55,4.0,ff,0.000%
sky130_fd_pr__nfet_01v8,0.55,8.0,ff,0.000%
sky130_fd_pr__nfet_01v8,0.55,0.15,ff,0.000%
sky130_fd_pr__nfet_01v8,0.55,0.5,ff,0.000%
sky130_fd_pr__nfet_01v8,0.64,0.15,ff,0.000%
sky130_fd_pr__nfet_01v8,0.84,0.15,ff,0.000%
sky130_fd_pr__nfet_01v8,0.74,0.15,ff,0.000%
sky130_fd_pr__nfet_01v8,0.36,0.15,ff,0.000%
sky130_fd_pr__nfet_01v8,0.39,0.15,ff,0.000%
sky130_fd_pr__nfet_01v8,0.52,0.15,ff,0.000%
sky130_fd_pr__nfet_01v8,0.54,0.15,ff,0.000%
sky130_fd_pr__nfet_01v8,0.58,0.15,ff,0.000%
sky130_fd_pr__nfet_01v8,0.6,0.15,ff,0.000%
sky130_fd_pr__nfet_01v8,0.61,0.15,ff,0.000%
sky130_fd_pr__nfet_01v8,0.65,0.15,ff,0.000%
sky130_fd_pr__nfet_01v8,0.65,0.18,ff,0.000%
sky130_fd_pr__nfet_01v8,0.65,0.25,ff,0.000%
sky130_fd_pr__nfet_01v8,0.65,0.5,ff,0.000%
sky130_fd_pr__nfet_01v8,1.26,0.15,fs,0.000%
sky130_fd_pr__nfet_01v8,1.68,0.15,fs,0.000%
sky130_fd_pr__nfet_01v8,1.0,1.0,fs,0.000%
sky130_fd_pr__nfet_01v8,1.0,2.0,fs,0.000%
sky130_fd_pr__nfet_01v8,1.0,4.0,fs,0.000%
sky130_fd_pr__nfet_01v8,1.0,8.0,fs,0.000%
sky130_fd_pr__nfet_01v8,1.0,0.15,fs,0.000%
sky130_fd_pr__nfet_01v8,1.0,0.18,fs,0.000%
sky130_fd_pr__nfet_01v8,1.0,0.25,fs,0.000%
sky130_fd_pr__nfet_01v8,1.0,0.5,fs,0.000%
sky130_fd_pr__nfet_01v8,2.0,0.15,fs,0.000%
sky130_fd_pr__nfet_01v8,3.0,1.0,fs,0.000%
sky130_fd_pr__nfet_01v8,3.0,2.0,fs,0.000%
sky130_fd_pr__nfet_01v8,3.0,4.0,fs,0.000%
sky130_fd_pr__nfet_01v8,3.0,8.0,fs,0.000%
sky130_fd_pr__nfet_01v8,3.0,0.15,fs,0.005%
sky130_fd_pr__nfet_01v8,3.0,0.18,fs,0.001%
sky130_fd_pr__nfet_01v8,3.0,0.25,fs,0.000%
sky130_fd_pr__nfet_01v8,3.0,0.5,fs,0.000%
sky130_fd_pr__nfet_01v8,5.0,1.0,fs,0.000%
sky130_fd_pr__nfet_01v8,5.0,2.0,fs,0.000%
sky130_fd_pr__nfet_01v8,5.0,4.0,fs,0.000%
sky130_fd_pr__nfet_01v8,5.0,8.0,fs,0.000%
sky130_fd_pr__nfet_01v8,5.0,0.15,fs,0.025%
sky130_fd_pr__nfet_01v8,5.0,0.18,fs,0.005%
sky130_fd_pr__nfet_01v8,5.0,0.25,fs,0.004%
sky130_fd_pr__nfet_01v8,5.0,0.5,fs,0.006%
sky130_fd_pr__nfet_01v8,7.0,1.0,fs,0.001%
sky130_fd_pr__nfet_01v8,7.0,2.0,fs,0.000%
sky130_fd_pr__nfet_01v8,7.0,4.0,fs,0.000%
sky130_fd_pr__nfet_01v8,7.0,8.0,fs,0.000%
sky130_fd_pr__nfet_01v8,7.0,0.15,fs,0.004%
sky130_fd_pr__nfet_01v8,7.0,0.18,fs,0.020%
sky130_fd_pr__nfet_01v8,7.0,0.25,fs,0.004%
sky130_fd_pr__nfet_01v8,7.0,0.5,fs,0.004%
sky130_fd_pr__nfet_01v8,0.42,1.0,fs,0.000%
sky130_fd_pr__nfet_01v8,0.42,20.0,fs,0.000%
sky130_fd_pr__nfet_01v8,0.42,2.0,fs,0.000%
sky130_fd_pr__nfet_01v8,0.42,4.0,fs,0.000%
sky130_fd_pr__nfet_01v8,0.42,8.0,fs,0.000%
sky130_fd_pr__nfet_01v8,0.42,0.15,fs,0.000%
sky130_fd_pr__nfet_01v8,0.42,0.18,fs,0.000%
sky130_fd_pr__nfet_01v8,0.42,0.5,fs,0.000%
sky130_fd_pr__nfet_01v8,0.55,1.0,fs,0.000%
sky130_fd_pr__nfet_01v8,0.55,2.0,fs,0.000%
sky130_fd_pr__nfet_01v8,0.55,4.0,fs,0.000%
sky130_fd_pr__nfet_01v8,0.55,8.0,fs,0.000%
sky130_fd_pr__nfet_01v8,0.55,0.15,fs,0.000%
sky130_fd_pr__nfet_01v8,0.55,0.5,fs,0.000%
sky130_fd_pr__nfet_01v8,0.64,0.15,fs,0.000%
sky130_fd_pr__nfet_01v8,0.84,0.15,fs,0.000%
sky130_fd_pr__nfet_01v8,0.74,0.15,fs,0.000%
sky130_fd_pr__nfet_01v8,0.36,0.15,fs,0.000%
sky130_fd_pr__nfet_01v8,0.39,0.15,fs,0.000%
sky130_fd_pr__nfet_01v8,0.52,0.15,fs,0.000%
sky130_fd_pr__nfet_01v8,0.54,0.15,fs,0.000%
sky130_fd_pr__nfet_01v8,0.58,0.15,fs,0.000%
sky130_fd_pr__nfet_01v8,0.6,0.15,fs,0.000%
sky130_fd_pr__nfet_01v8,0.61,0.15,fs,0.000%
sky130_fd_pr__nfet_01v8,0.65,0.15,fs,0.000%
sky130_fd_pr__nfet_01v8,0.65,0.18,fs,0.000%
sky130_fd_pr__nfet_01v8,0.65,0.25,fs,0.000%
sky130_fd_pr__nfet_01v8,0.65,0.5,fs,0.000%
sky130_fd_pr__nfet_01v8,1.26,0.15,sf,0.000%
sky130_fd_pr__nfet_01v8,1.68,0.15,sf,0.000%
sky130_fd_pr__nfet_01v8,1.0,1.0,sf,0.000%
sky130_fd_pr__nfet_01v8,1.0,2.0,sf,0.000%
sky130_fd_pr__nfet_01v8,1.0,4.0,sf,0.000%
sky130_fd_pr__nfet_01v8,1.0,8.0,sf,0.000%
sky130_fd_pr__nfet_01v8,1.0,0.15,sf,0.000%
sky130_fd_pr__nfet_01v8,1.0,0.18,sf,0.000%
sky130_fd_pr__nfet_01v8,1.0,0.25,sf,0.000%
sky130_fd_pr__nfet_01v8,1.0,0.5,sf,0.000%
sky130_fd_pr__nfet_01v8,2.0,0.15,sf,0.000%
sky130_fd_pr__nfet_01v8,3.0,1.0,sf,0.000%
sky130_fd_pr__nfet_01v8,3.0,2.0,sf,0.000%
sky130_fd_pr__nfet_01v8,3.0,4.0,sf,0.000%
sky130_fd_pr__nfet_01v8,3.0,8.0,sf,0.000%
sky130_fd_pr__nfet_01v8,3.0,0.15,sf,0.023%
sky130_fd_pr__nfet_01v8,3.0,0.18,sf,0.005%
sky130_fd_pr__nfet_01v8,3.0,0.25,sf,0.002%
sky130_fd_pr__nfet_01v8,3.0,0.5,sf,0.000%
sky130_fd_pr__nfet_01v8,5.0,1.0,sf,0.000%
sky130_fd_pr__nfet_01v8,5.0,2.0,sf,0.000%
sky130_fd_pr__nfet_01v8,5.0,4.0,sf,0.000%
sky130_fd_pr__nfet_01v8,5.0,8.0,sf,0.000%
sky130_fd_pr__nfet_01v8,5.0,0.15,sf,0.017%
sky130_fd_pr__nfet_01v8,5.0,0.18,sf,0.015%
sky130_fd_pr__nfet_01v8,5.0,0.25,sf,0.016%
sky130_fd_pr__nfet_01v8,5.0,0.5,sf,0.007%
sky130_fd_pr__nfet_01v8,7.0,1.0,sf,0.030%
sky130_fd_pr__nfet_01v8,7.0,2.0,sf,0.000%
sky130_fd_pr__nfet_01v8,7.0,4.0,sf,0.000%
sky130_fd_pr__nfet_01v8,7.0,8.0,sf,0.000%
sky130_fd_pr__nfet_01v8,7.0,0.15,sf,0.028%
sky130_fd_pr__nfet_01v8,7.0,0.18,sf,0.008%
sky130_fd_pr__nfet_01v8,7.0,0.25,sf,0.016%
sky130_fd_pr__nfet_01v8,7.0,0.5,sf,0.006%
sky130_fd_pr__nfet_01v8,0.42,1.0,sf,0.000%
sky130_fd_pr__nfet_01v8,0.42,20.0,sf,0.000%
sky130_fd_pr__nfet_01v8,0.42,2.0,sf,0.000%
sky130_fd_pr__nfet_01v8,0.42,4.0,sf,0.000%
sky130_fd_pr__nfet_01v8,0.42,8.0,sf,0.000%
sky130_fd_pr__nfet_01v8,0.42,0.15,sf,0.000%
sky130_fd_pr__nfet_01v8,0.42,0.18,sf,0.000%
sky130_fd_pr__nfet_01v8,0.42,0.5,sf,0.000%
sky130_fd_pr__nfet_01v8,0.55,1.0,sf,0.000%
sky130_fd_pr__nfet_01v8,0.55,2.0,sf,0.000%
sky130_fd_pr__nfet_01v8,0.55,4.0,sf,0.000%
sky130_fd_pr__nfet_01v8,0.55,8.0,sf,0.000%
sky130_fd_pr__nfet_01v8,0.55,0.15,sf,0.000%
sky130_fd_pr__nfet_01v8,0.55,0.5,sf,0.000%
sky130_fd_pr__nfet_01v8,0.64,0.15,sf,0.000%
sky130_fd_pr__nfet_01v8,0.84,0.15,sf,0.000%
sky130_fd_pr__nfet_01v8,0.74,0.15,sf,0.000%
sky130_fd_pr__nfet_01v8,0.36,0.15,sf,0.000%
sky130_fd_pr__nfet_01v8,0.39,0.15,sf,0.000%
sky130_fd_pr__nfet_01v8,0.52,0.15,sf,0.000%
sky130_fd_pr__nfet_01v8,0.54,0.15,sf,0.000%
sky130_fd_pr__nfet_01v8,0.58,0.15,sf,0.000%
sky130_fd_pr__nfet_01v8,0.6,0.15,sf,0.000%
sky130_fd_pr__nfet_01v8,0.61,0.15,sf,0.000%
sky130_fd_pr__nfet_01v8,0.65,0.15,sf,0.000%
sky130_fd_pr__nfet_01v8,0.65,0.18,sf,0.000%
sky130_fd_pr__nfet_01v8,0.65,0.25,sf,0.000%
sky130_fd_pr__nfet_01v8,0.65,0.5,sf,0.000%
sky130_fd_pr__nfet_01v8,1.26,0.15,ss,0.000%
sky130_fd_pr__nfet_01v8,1.68,0.15,ss,0.000%
sky130_fd_pr__nfet_01v8,1.0,1.0,ss,0.000%
sky130_fd_pr__nfet_01v8,1.0,2.0,ss,0.000%
sky130_fd_pr__nfet_01v8,1.0,4.0,ss,0.000%
sky130_fd_pr__nfet_01v8,1.0,8.0,ss,0.000%
sky130_fd_pr__nfet_01v8,1.0,0.15,ss,0.000%
sky130_fd_pr__nfet_01v8,1.0,0.18,ss,0.000%
sky130_fd_pr__nfet_01v8,1.0,0.25,ss,0.000%
sky130_fd_pr__nfet_01v8,1.0,0.5,ss,0.000%
sky130_fd_pr__nfet_01v8,2.0,0.15,ss,0.000%
sky130_fd_pr__nfet_01v8,3.0,1.0,ss,0.000%
sky130_fd_pr__nfet_01v8,3.0,2.0,ss,0.000%
sky130_fd_pr__nfet_01v8,3.0,4.0,ss,0.000%
sky130_fd_pr__nfet_01v8,3.0,8.0,ss,0.000%
sky130_fd_pr__nfet_01v8,3.0,0.15,ss,0.004%
sky130_fd_pr__nfet_01v8,3.0,0.18,ss,0.001%
sky130_fd_pr__nfet_01v8,3.0,0.25,ss,0.000%
sky130_fd_pr__nfet_01v8,3.0,0.5,ss,0.000%
sky130_fd_pr__nfet_01v8,5.0,1.0,ss,0.000%
sky130_fd_pr__nfet_01v8,5.0,2.0,ss,0.000%
sky130_fd_pr__nfet_01v8,5.0,4.0,ss,0.000%
sky130_fd_pr__nfet_01v8,5.0,8.0,ss,0.000%
sky130_fd_pr__nfet_01v8,5.0,0.15,ss,0.032%
sky130_fd_pr__nfet_01v8,5.0,0.18,ss,0.007%
sky130_fd_pr__nfet_01v8,5.0,0.25,ss,0.005%
sky130_fd_pr__nfet_01v8,5.0,0.5,ss,0.007%
sky130_fd_pr__nfet_01v8,7.0,1.0,ss,0.001%
sky130_fd_pr__nfet_01v8,7.0,2.0,ss,0.000%
sky130_fd_pr__nfet_01v8,7.0,4.0,ss,0.000%
sky130_fd_pr__nfet_01v8,7.0,8.0,ss,0.000%
sky130_fd_pr__nfet_01v8,7.0,0.15,ss,0.005%
sky130_fd_pr__nfet_01v8,7.0,0.18,ss,0.020%
sky130_fd_pr__nfet_01v8,7.0,0.25,ss,0.004%
sky130_fd_pr__nfet_01v8,7.0,0.5,ss,0.006%
sky130_fd_pr__nfet_01v8,0.42,1.0,ss,0.000%
sky130_fd_pr__nfet_01v8,0.42,20.0,ss,0.000%
sky130_fd_pr__nfet_01v8,0.42,2.0,ss,0.000%
sky130_fd_pr__nfet_01v8,0.42,4.0,ss,0.000%
sky130_fd_pr__nfet_01v8,0.42,8.0,ss,0.000%
sky130_fd_pr__nfet_01v8,0.42,0.15,ss,0.000%
sky130_fd_pr__nfet_01v8,0.42,0.18,ss,0.000%
sky130_fd_pr__nfet_01v8,0.42,0.5,ss,0.000%
sky130_fd_pr__nfet_01v8,0.55,1.0,ss,0.000%
sky130_fd_pr__nfet_01v8,0.55,2.0,ss,0.000%
sky130_fd_pr__nfet_01v8,0.55,4.0,ss,0.000%
sky130_fd_pr__nfet_01v8,0.55,8.0,ss,0.000%
sky130_fd_pr__nfet_01v8,0.55,0.15,ss,0.000%
sky130_fd_pr__nfet_01v8,0.55,0.5,ss,0.000%
sky130_fd_pr__nfet_01v8,0.64,0.15,ss,0.000%
sky130_fd_pr__nfet_01v8,0.84,0.15,ss,0.000%
sky130_fd_pr__nfet_01v8,0.74,0.15,ss,0.000%
sky130_fd_pr__nfet_01v8,0.36,0.15,ss,0.000%
sky130_fd_pr__nfet_01v8,0.39,0.15,ss,0.000%
sky130_fd_pr__nfet_01v8,0.52,0.15,ss,0.000%
sky130_fd_pr__nfet_01v8,0.54,0.15,ss,0.000%
sky130_fd_pr__nfet_01v8,0.58,0.15,ss,0.000%
sky130_fd_pr__nfet_01v8,0.6,0.15,ss,0.000%
sky130_fd_pr__nfet_01v8,0.61,0.15,ss,0.000%
sky130_fd_pr__nfet_01v8,0.65,0.15,ss,0.000%
sky130_fd_pr__nfet_01v8,0.65,0.18,ss,0.000%
sky130_fd_pr__nfet_01v8,0.65,0.25,ss,0.000%
sky130_fd_pr__nfet_01v8,0.65,0.5,ss,0.000%
sky130_fd_pr__nfet_03v3_nvt,10.0,0.5,tt,0.019%
sky130_fd_pr__nfet_03v3_nvt,1.0,0.5,tt,0.000%
sky130_fd_pr__nfet_03v3_nvt,1.0,0.6,tt,0.000%
sky130_fd_pr__nfet_03v3_nvt,4.0,0.5,tt,0.000%
sky130_fd_pr__nfet_03v3_nvt,0.42,0.5,tt,0.000%
sky130_fd_pr__nfet_03v3_nvt,0.42,0.6,tt,0.000%
sky130_fd_pr__nfet_03v3_nvt,0.42,0.8,tt,0.000%
sky130_fd_pr__nfet_03v3_nvt,0.7,0.5,tt,0.000%
sky130_fd_pr__nfet_03v3_nvt,0.7,0.6,tt,0.000%
sky130_fd_pr__nfet_03v3_nvt,10.0,0.5,ff,0.027%
sky130_fd_pr__nfet_03v3_nvt,1.0,0.5,ff,0.000%
sky130_fd_pr__nfet_03v3_nvt,1.0,0.6,ff,0.000%
sky130_fd_pr__nfet_03v3_nvt,4.0,0.5,ff,0.001%
sky130_fd_pr__nfet_03v3_nvt,0.42,0.5,ff,0.000%
sky130_fd_pr__nfet_03v3_nvt,0.42,0.6,ff,0.000%
sky130_fd_pr__nfet_03v3_nvt,0.42,0.8,ff,0.000%
sky130_fd_pr__nfet_03v3_nvt,0.7,0.5,ff,0.000%
sky130_fd_pr__nfet_03v3_nvt,0.7,0.6,ff,0.000%
sky130_fd_pr__nfet_03v3_nvt,10.0,0.5,fs,0.014%
sky130_fd_pr__nfet_03v3_nvt,1.0,0.5,fs,0.000%
sky130_fd_pr__nfet_03v3_nvt,1.0,0.6,fs,0.000%
sky130_fd_pr__nfet_03v3_nvt,4.0,0.5,fs,0.001%
sky130_fd_pr__nfet_03v3_nvt,0.42,0.5,fs,0.000%
sky130_fd_pr__nfet_03v3_nvt,0.42,0.6,fs,0.000%
sky130_fd_pr__nfet_03v3_nvt,0.42,0.8,fs,0.000%
sky130_fd_pr__nfet_03v3_nvt,0.7,0.5,fs,0.000%
sky130_fd_pr__nfet_03v3_nvt,0.7,0.6,fs,0.000%
sky130_fd_pr__nfet_03v3_nvt,10.0,0.5,sf,0.019%
sky130_fd_pr__nfet_03v3_nvt,1.0,0.5,sf,0.000%
sky130_fd_pr__nfet_03v3_nvt,1.0,0.6,sf,0.000%
sky130_fd_pr__nfet_03v3_nvt,4.0,0.5,sf,0.001%
sky130_fd_pr__nfet_03v3_nvt,0.42,0.5,sf,0.000%
sky130_fd_pr__nfet_03v3_nvt,0.42,0.6,sf,0.000%
sky130_fd_pr__nfet_03v3_nvt,0.42,0.8,sf,0.000%
sky130_fd_pr__nfet_03v3_nvt,0.7,0.5,sf,0.000%
sky130_fd_pr__nfet_03v3_nvt,0.7,0.6,sf,0.000%
sky130_fd_pr__nfet_03v3_nvt,10.0,0.5,ss,0.014%
sky130_fd_pr__nfet_03v3_nvt,1.0,0.5,ss,0.000%
sky130_fd_pr__nfet_03v3_nvt,1.0,0.6,ss,0.000%
sky130_fd_pr__nfet_03v3_nvt,4.0,0.5,ss,0.001%
sky130_fd_pr__nfet_03v3_nvt,0.42,0.5,ss,0.000%
sky130_fd_pr__nfet_03v3_nvt,0.42,0.6,ss,0.000%
sky130_fd_pr__nfet_03v3_nvt,0.42,0.8,ss,0.000%
sky130_fd_pr__nfet_03v3_nvt,0.7,0.5,ss,0.000%
sky130_fd_pr__nfet_03v3_nvt,0.7,0.6,ss,0.000%
sky130_fd_pr__nfet_05v0_nvt,10.0,2.0,tt,0.001%
sky130_fd_pr__nfet_05v0_nvt,10.0,4.0,tt,0.000%
sky130_fd_pr__nfet_05v0_nvt,10.0,0.9,tt,0.009%
sky130_fd_pr__nfet_05v0_nvt,1.0,25.0,tt,0.000%
sky130_fd_pr__nfet_05v0_nvt,1.0,2.0,tt,0.000%
sky130_fd_pr__nfet_05v0_nvt,1.0,4.0,tt,0.000%
sky130_fd_pr__nfet_05v0_nvt,1.0,8.0,tt,0.000%
sky130_fd_pr__nfet_05v0_nvt,1.0,0.9,tt,0.000%
sky130_fd_pr__nfet_05v0_nvt,0.42,1.0,tt,0.000%
sky130_fd_pr__nfet_05v0_nvt,0.42,0.9,tt,0.000%
sky130_fd_pr__nfet_05v0_nvt,0.7,0.9,tt,0.000%
sky130_fd_pr__nfet_05v0_nvt,10.0,2.0,ff,0.001%
sky130_fd_pr__nfet_05v0_nvt,10.0,4.0,ff,0.000%
sky130_fd_pr__nfet_05v0_nvt,10.0,0.9,ff,0.011%
sky130_fd_pr__nfet_05v0_nvt,1.0,25.0,ff,0.000%
sky130_fd_pr__nfet_05v0_nvt,1.0,2.0,ff,0.000%
sky130_fd_pr__nfet_05v0_nvt,1.0,4.0,ff,0.000%
sky130_fd_pr__nfet_05v0_nvt,1.0,8.0,ff,0.000%
sky130_fd_pr__nfet_05v0_nvt,1.0,0.9,ff,0.000%
sky130_fd_pr__nfet_05v0_nvt,0.42,1.0,ff,0.000%
sky130_fd_pr__nfet_05v0_nvt,0.42,0.9,ff,0.000%
sky130_fd_pr__nfet_05v0_nvt,0.7,0.9,ff,0.000%
sky130_fd_pr__nfet_05v0_nvt,10.0,2.0,fs,0.001%
sky130_fd_pr__nfet_05v0_nvt,10.0,4.0,fs,0.000%
sky130_fd_pr__nfet_05v0_nvt,10.0,0.9,fs,0.007%
sky130_fd_pr__nfet_05v0_nvt,1.0,25.0,fs,0.000%
sky130_fd_pr__nfet_05v0_nvt,1.0,2.0,fs,0.000%
sky130_fd_pr__nfet_05v0_nvt,1.0,4.0,fs,0.000%
sky130_fd_pr__nfet_05v0_nvt,1.0,8.0,fs,0.000%
sky130_fd_pr__nfet_05v0_nvt,1.0,0.9,fs,0.000%
sky130_fd_pr__nfet_05v0_nvt,0.42,1.0,fs,0.000%
sky130_fd_pr__nfet_05v0_nvt,0.42,0.9,fs,0.000%
sky130_fd_pr__nfet_05v0_nvt,0.7,0.9,fs,0.000%
sky130_fd_pr__nfet_05v0_nvt,10.0,2.0,sf,0.001%
sky130_fd_pr__nfet_05v0_nvt,10.0,4.0,sf,0.000%
sky130_fd_pr__nfet_05v0_nvt,10.0,0.9,sf,0.010%
sky130_fd_pr__nfet_05v0_nvt,1.0,25.0,sf,0.000%
sky130_fd_pr__nfet_05v0_nvt,1.0,2.0,sf,0.000%
sky130_fd_pr__nfet_05v0_nvt,1.0,4.0,sf,0.000%
sky130_fd_pr__nfet_05v0_nvt,1.0,8.0,sf,0.000%
