{-I(VDD)}
2.17949806e-12
6.75062576e-12
6.74465330e-11
8.54288090e-10
1.03148289e-08
1.06313218e-07
8.68492163e-07
4.51074246e-06
1.32947945e-05
2.69130166e-05
4.42983581e-05
6.46758385e-05
8.74518114e-05
1.12107553e-04
1.38182925e-04
1.65279890e-04
1.93062392e-04
2.21251070e-04
2.49615282e-04
