{-I(VDD)}
1.94033444e-12
3.59612496e-12
2.62471689e-11
3.34143745e-10
4.42383415e-09
5.45829170e-08
5.40479494e-07
3.41713997e-06
1.24577126e-05
2.89364200e-05
5.02934088e-05
7.40296026e-05
9.89404662e-05
1.24479847e-04
1.50345169e-04
1.76338325e-04
2.02319688e-04
2.28187857e-04
2.53867746e-04
