{-I(VDD)}
2.19848150e-12
1.16851967e-11
2.51684866e-10
6.18238842e-09
1.37764164e-07
2.14925644e-06
1.78519207e-05
8.12226789e-05
2.16310939e-04
4.00690612e-04
6.07573812e-04
8.21394481e-04
1.03134637e-03
1.22547367e-03
1.38449282e-03
1.48490039e-03
1.53608163e-03
1.56626118e-03
1.58745981e-03
