{-I(VDD)}
1.81115758e-12
1.83235171e-12
2.24129413e-12
1.01075958e-11
1.59415744e-10
2.83977324e-09
4.21888230e-08
3.98835813e-07
2.18678412e-06
7.73799186e-06
1.87113167e-05
3.42720405e-05
5.30068219e-05
7.39633484e-05
9.65146816e-05
1.20202434e-04
1.44671725e-04
1.69641966e-04
1.94889127e-04
