{-I(VDD)}
3.50520331e-12
3.37866143e-11
6.03712017e-10
1.12290100e-08
2.01581662e-07
3.13083838e-06
3.24281323e-05
1.76547482e-04
5.24682556e-04
1.02154033e-03
1.49827918e-03
1.64060306e-03
1.68009867e-03
1.70129915e-03
1.71490956e-03
1.72444806e-03
1.73150389e-03
1.73691985e-03
1.74119034e-03
