{-I(VDD)}
9.91910025e-05
2.42112869e-04
3.68182810e-04
4.87982311e-04
6.10981757e-04
7.39308549e-04
8.72586102e-04
1.00972125e-03
1.14953581e-03
1.29094047e-03
1.43294066e-03
1.57458512e-03
1.71489074e-03
1.85274552e-03
1.98677525e-03
2.11514782e-03
2.23528892e-03
2.34356151e-03
2.43537530e-03
2.50714779e-03
2.56014829e-03
2.60004806e-03
2.63192175e-03
2.65860749e-03
2.68159280e-03
2.70174258e-03
2.71962157e-03
2.73563063e-03
2.75007023e-03
2.76317388e-03
2.77512769e-03
2.78608290e-03
2.79616384e-03
2.80547448e-03
