{-I(VDD)}
7.72155789e-11
9.58730993e-10
1.03639524e-08
6.17302115e-08
1.70556988e-07
3.12839176e-07
4.80756269e-07
6.76151730e-07
9.00654820e-07
1.15475913e-06
1.43838969e-06
1.75127693e-06
2.09311381e-06
2.46361107e-06
2.86251371e-06
3.28960386e-06
3.74469940e-06
4.22765087e-06
4.73833803e-06
5.27666607e-06
5.84256176e-06
6.43596958e-06
7.05684781e-06
7.70516473e-06
8.38089504e-06
9.08401648e-06
9.81450678e-06
1.05723412e-05
1.13574904e-05
1.21699193e-05
1.30095864e-05
1.38764440e-05
1.47704391e-05
1.56915155e-05
1.66396158e-05
1.76146847e-05
1.86166713e-05
1.96455328e-05
2.07012357e-05
2.17837577e-05
2.28930871e-05
2.40292208e-05
2.51921605e-05
2.63819069e-05
2.75984505e-05
2.88417585e-05
3.01117531e-05
3.14082746e-05
3.27310115e-05
3.40793648e-05
3.54521715e-05
