{-I(VDD)}
3.85265307e-07
2.75278088e-06
8.13523433e-06
1.47091755e-05
2.17308002e-05
2.92213416e-05
3.71923530e-05
4.55977174e-05
5.43711134e-05
6.34469497e-05
7.27677103e-05
8.22852773e-05
9.19601207e-05
1.01759935e-04
1.11658291e-04
1.21633476e-04
1.31667540e-04
1.41745547e-04
1.51854972e-04
1.61985230e-04
1.72127306e-04
1.82273462e-04
1.92416998e-04
2.02552069e-04
2.12673531e-04
2.22776824e-04
2.32857865e-04
2.42912970e-04
2.52938789e-04
2.62932244e-04
2.72890484e-04
2.82810845e-04
2.92690816e-04
3.02528005e-04
