{-I(VDD)}
5.26159430e-12
4.39094419e-11
5.13408244e-10
6.14004048e-09
7.05459577e-08
7.08683237e-07
5.06434100e-06
2.05045027e-05
4.79876632e-05
8.02125053e-05
1.12890726e-04
1.45104971e-04
1.76844960e-04
2.08183434e-04
2.39153144e-04
2.69758040e-04
2.99990393e-04
3.29839320e-04
3.59293885e-04
