{-I(VDD)}
2.56838748e-12
1.45172605e-11
2.14443987e-10
3.54055550e-09
5.76248896e-08
8.64153356e-07
1.00438634e-05
7.06246609e-05
2.78372040e-04
6.74413646e-04
1.17624830e-03
1.55760343e-03
1.64103292e-03
1.67398567e-03
1.69323423e-03
1.70607991e-03
1.71529522e-03
1.72222029e-03
1.72759611e-03
